Country,1990_Spend,1991_Spend,1992_Spend,1993_Spend,1994_Spend,1995_Spend,1996_Spend,1997_Spend,1998_Spend,1999_Spend,2000_Spend,2001_Spend,2002_Spend,2003_Spend,2004_Spend,2005_Spend,2006_Spend,2007_Spend,2008_Spend,2009_Spend,2010_Spend,2011_Spend,2012_Spend,2013_Spend,2014_Spend,2015_Spend,2016_Spend,2017_Spend
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,125111557.5,122727193.1,131346231.3,219580214.3,240532594.6,251869514.8,298146852.5,325807003.7,238583385.4,217194107.1,268227074.2,199518614.8,185878310.1,191407113.2
Angola,1751153152.0,1031247788.0,794138821.2,1774397877.0,594991178.7,233843714.9,159741933.5,456780475.0,170278292.6,1066588789.0,583621333.6,404299140.0,438686245.4,670021164.4,817533582.2,1365055399.0,1970309115.0,2032432883.0,3163591147.0,3311193245.0,3500794836.0,3639496374.0,4144634851.0,6090751702.0,6841864484.0,3608299115.0,2764054937.0,3062872914.0
Albania,,,31559657.48,39289843.43,49649504.93,50907521.78,45713356.11,29825492.0,33638047.44,42784205.21,45362503.39,53232045.16,58649352.5,76142881.76,100922358.4,110140852.7,140983900.7,194840309.2,255677957.8,182736862.5,185893242.0,197006789.2,183204695.7,180015508.8,178120368.0,132350667.6,130853162.6,144382688.7
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,36512289679.0,41035099161.0,32810749318.0,29606345067.0,29413366450.0,26684323434.0,26486123009.0,35484055036.0,39322695875.0,36889627319.0,40740633349.0,42770280444.0,40851036167.0,42622220140.0,48508764668.0,54649194506.0,61282170542.0,73572238704.0,86261643586.0,91504042712.0,97976367584.0,108000000000.0,122000000000.0,143000000000.0,155000000000.0,138000000000.0,112000000000.0,119000000000.0
United Arab Emirates,,,,,,,,3335766741.0,4010347175.0,4233083730.0,5875833901.0,5797957794.0,5354118448.0,5834717495.0,6816882233.0,6604220558.0,7165418652.0,8460993873.0,11571681416.0,13836351259.0,17504697073.0,19181756297.0,19024098026.0,23561061947.0,22755071477.0,,,
Argentina,2050907629.0,2858778842.0,3254455192.0,3368550452.0,3754724687.0,3801950488.0,3379138770.0,3340670335.0,3398699350.0,3461730865.0,3266633317.0,3183591796.0,1114172483.0,1374873734.0,1465809188.0,1699579152.0,1847553130.0,2296448242.0,2788980205.0,2981852290.0,3475348407.0,4051930105.0,4563217859.0,5137974301.0,4979442724.0,5482616701.0,4509647660.0,5459643672.0
Armenia,,,,9829763.866,,52228583.82,52410268.55,64062121.19,66757573.06,68234148.57,68052142.07,66247626.46,64106405.65,76587998.89,98070488.2,140738102.7,188189116.4,280108688.3,395994365.4,359499343.5,395011507.8,390871433.9,380571678.9,444551859.5,457807021.8,447379807.5,431396218.6,443610413.3
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,6704213698.0,7023509067.0,6882091580.0,6733829290.0,7459696582.0,7665878446.0,8202776517.0,7936884917.0,7107542891.0,7770250653.0,7273760313.0,7043145895.0,7946766202.0,9926649415.0,11995219710.0,13237798499.0,14239779513.0,17186440962.0,18633092318.0,18960138513.0,23217692816.0,26597198655.0,26216580848.0,24825262589.0,25783708714.0,24045569111.0,26382947050.0,27691112417.0
Austria,1972701682.0,1994055546.0,2139925322.0,2115115267.0,2227560550.0,2557834494.0,2457903049.0,2164802343.0,2159796003.0,2124379546.0,1925557398.0,1788798311.0,1881746741.0,2381962769.0,2679282065.0,2686166244.0,2640185362.0,3499817967.0,3746731607.0,3334754940.0,3218351224.0,3409721209.0,3187227449.0,3229065841.0,3305159256.0,2665409782.0,2885947386.0,3138359204.0
Azerbaijan,,,11070110.7,77519379.84,43942747.06,66159968.91,71606841.24,92086691.97,107262858.6,120262174.0,119575651.7,131963660.1,139894091.9,176552162.3,228249631.6,304521477.7,717111853.6,946599792.1,1607799226.0,1472909977.0,1476608734.0,3080084996.0,3246122613.0,3367574161.0,3427179917.0,2943396693.0,1396969108.0,1528859592.0
Burundi,39602347.38,42751758.83,38986476.43,36267402.59,41909745.03,42108929.88,50893980.78,61870123.83,58736036.23,50571188.26,42321552.22,53230373.11,44910067.05,43413201.31,44872377.15,49557129.38,44717502.04,46308706.22,43856319.95,,,,58966662.28,60859500.09,62177294.74,66164584.44,66462843.08,63908678.43
Belgium,4644324241.0,4624500746.0,4131298112.0,3746042851.0,3944101813.0,4449014835.0,4241865968.0,3684095389.0,3664288413.0,3598447520.0,3190805233.0,3036035472.0,3147146017.0,3875697772.0,4262663513.0,4228224643.0,4307895341.0,5163979974.0,6295821584.0,5620670063.0,5244720513.0,5499370964.0,5168997834.0,5263164883.0,5191509381.0,4202062770.0,4314102067.0,4484652582.0
Benin,32817291.98,,,,,,,,,17843134.39,14496275.16,13112535.62,26000447.64,34544046.8,41780478.34,44706029.56,46786130.93,,64724601.11,,,,78223091.04,86003157.64,92990706.19,90896085.89,79581568.05,116142782.4
Burkina Faso,84465502.36,69505542.22,71116618.56,60526975.63,30259093.49,36862814.24,37141874.14,38549246.23,39494738.56,41741175.48,36658539.05,36832965.23,42468449.96,50757054.37,65684242.41,73843342.16,72632867.33,107816728.5,116999586.9,127333296.6,123700474.7,138850860.2,147729698.9,166136345.2,177166954.9,147934736.7,149467363.2,191065838.8
Bangladesh,373023439.0,381720110.1,427723625.0,471044672.3,547417522.2,620095155.9,638958844.8,681915124.0,701585600.4,737412573.6,740798160.0,705481695.2,681816161.7,719442956.9,770641160.3,773677668.2,829682794.8,953464223.6,1030020018.0,1258791157.0,1624625086.0,1801539802.0,1823425076.0,2047989071.0,2355991525.0,2815281641.0,3239738758.0,3594007980.0
Bulgaria,794520547.9,232176386.6,255770911.5,282674243.3,241993434.8,311147105.6,213616356.3,244369396.2,320389011.3,357224539.6,351343204.9,406003542.8,455950466.5,569054077.5,650748201.7,699433973.1,750992451.6,1032154228.0,1038051933.0,963254164.0,893467534.0,829031753.5,807529319.0,899584003.5,835716950.6,660847880.3,755406457.6,824187016.9
Bahrain,239361702.1,263297872.3,279255319.1,279255319.1,284574468.1,303191489.4,321808510.6,321808510.6,329787234.0,364361702.1,359042553.2,372340425.5,444148936.2,515957446.8,531914893.6,513297872.3,574202127.7,642553191.5,719946808.5,828191489.4,842819148.9,1033510638.0,1182180851.0,1347606383.0,1475265957.0,1442021277.0,1505534574.0,1532712766.0
Bahamas,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,241025517.6,202282838.9,200100307.3,173304847.7,178375570.1,195049685.1,233292390.7,242471357.8,219915489.5,211878260.6,197344650.2,197617188.8,190380454.6,162215681.9,157912010.6,164638050.3
Belarus,,,,,,179081676.9,182805614.6,249384139.4,227586087.3,165903848.9,140326204.7,177697841.7,204364237.4,231563860.4,314314017.8,452684068.3,631831238.1,746943264.0,883027522.9,675426505.1,767699285.9,756277351.3,817069894.1,971107820.3,1010827014.0,723659955.0,597207572.1,631145399.2
Belize,4768750.0,4732875.0,5292125.0,6130375.0,7899375.0,8052875.0,7965875.0,9395000.0,,,7116125.0,7454662.5,7829937.5,8552225.0,9486150.0,10710962.5,12283037.5,13759075.0,18717737.5,17267537.5,15337250.0,15416250.0,15219125.0,17778875.0,19916875.0,19717625.0,21712887.5,23456750.0
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,137065127.5,143643960.1,141441910.3,109897118.0,134595240.4,140760862.8,146963017.8,180200446.9,228677000.4,176744242.1,173245422.5,184397571.0,160437935.8,173431324.8,168881603.1,169262316.4,179525489.2,221280687.8,327194708.2,345777777.8,327413146.1,403568566.1,499870043.4,564409840.8,625885094.1,575524224.9,552381263.9,574070189.6
Brazil,9236296955.0,6694665295.0,4993804467.0,7099899155.0,10591499118.0,14318919608.0,14073226545.0,13934266552.0,14357357047.0,9866973919.0,11344032535.0,10930231568.0,9664561903.0,8392905884.0,9780111585.0,13588619736.0,16404867307.0,20485758015.0,24452903036.0,25648809911.0,34002944470.0,36936209896.0,33987005074.0,32874787231.0,32659614241.0,24617701683.0,24224746901.0,29283050314.0
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,231168587.6,245434285.5,251692787.5,233941291.9,261876080.2,285738475.2,328359479.2,369070790.2,293977055.4,258413177.9,244205202.0,217667939.2,226182431.5,243373245.0,199381149.3,248588079.8,293436463.5,323137150.8,361989034.5,349759722.8,390719540.0,415371529.0,411261473.9,412094279.8,527785231.7,424022039.2,403366488.7,346706804.4
