Country,1990_Population,1991_Population,1992_Population,1993_Population,1994_Population,1995_Population,1996_Population,1997_Population,1998_Population,1999_Population,2000_Population,2001_Population,2002_Population,2003_Population,2004_Population,2005_Population,2006_Population,2007_Population,2008_Population,2009_Population,2010_Population,2011_Population,2012_Population,2013_Population,2014_Population,2015_Population,2016_Population,2017_Population,1990_Spend,1991_Spend,1992_Spend,1993_Spend,1994_Spend,1995_Spend,1996_Spend,1997_Spend,1998_Spend,1999_Spend,2000_Spend,2001_Spend,2002_Spend,2003_Spend,2004_Spend,2005_Spend,2006_Spend,2007_Spend,2008_Spend,2009_Spend,2010_Spend,2011_Spend,2012_Spend,2013_Spend,2014_Spend,2015_Spend,2016_Spend,2017_Spend,1990_GDP,1991_GDP,1992_GDP,1993_GDP,1994_GDP,1995_GDP,1996_GDP,1997_GDP,1998_GDP,1999_GDP,2000_GDP,2001_GDP,2002_GDP,2003_GDP,2004_GDP,2005_GDP,2006_GDP,2007_GDP,2008_GDP,2009_GDP,2010_GDP,2011_GDP,2012_GDP,2013_GDP,2014_GDP,2015_GDP,2016_GDP,2017_GDP
Australia,17065100.0,17284000.0,17495000.0,17667000.0,17855000.0,18072000.0,18311000.0,18517000.0,18711000.0,18926000.0,19153000.0,19413000.0,19651400.0,19895400.0,20127400.0,20394800.0,20697900.0,20827600.0,21249200.0,21691700.0,22031750.0,22340024.0,22733465.0,23128129.0,23475686.0,23815995.0,24190907.0,24601860.0,6704213698.0,7023509067.0,6882091580.0,6733829290.0,7459696582.0,7665878446.0,8202776517.0,7936884917.0,7107542891.0,7770250653.0,7273760313.0,7043145895.0,7946766202.0,9926649415.0,11995219710.0,13237798499.0,14239779513.0,17186440962.0,18633092318.0,18960138513.0,23217692816.0,26597198655.0,26216580848.0,24825262589.0,25783708714.0,24045569111.0,26382947050.0,27691112417.0,310838000000.0,325358000000.0,324878000000.0,311529000000.0,322201000000.0,367216000000.0,400303000000.0,434568000000.0,398899000000.0,388395000000.0,415034000000.0,378215000000.0,394487000000.0,466295000000.0,611904000000.0,692642000000.0,745522000000.0,851963000000.0,1052580000000.0,926448000000.0,1144260000000.0,1394280000000.0,1543410000000.0,1573700000000.0,1464960000000.0,1349030000000.0,1208040000000.0,1323420000000.0
Austria,7677850.0,7754891.0,7840709.0,7905633.0,7936118.0,7948278.0,7959017.0,7968041.0,7976789.0,7992324.0,8011566.0,8042293.0,8081957.0,8121423.0,8171966.0,8227829.0,8268641.0,8295487.0,8321496.0,8343323.0,8363404.0,8391643.0,8429991.0,8479823.0,8546356.0,8642699.0,8736668.0,8797566.0,1972701682.0,1994055546.0,2139925322.0,2115115267.0,2227560550.0,2557834494.0,2457903049.0,2164802343.0,2159796003.0,2124379546.0,1925557398.0,1788798311.0,1881746741.0,2381962769.0,2679282065.0,2686166244.0,2640185362.0,3499817967.0,3746731607.0,3334754940.0,3218351224.0,3409721209.0,3187227449.0,3229065841.0,3305159256.0,2665409782.0,2885947386.0,3138359204.0,166463000000.0,173794000000.0,195078000000.0,190380000000.0,203535000000.0,241038000000.0,237251000000.0,212790000000.0,218260000000.0,217186000000.0,196800000000.0,197338000000.0,213378000000.0,261696000000.0,300904000000.0,315974000000.0,335999000000.0,388691000000.0,430294000000.0,400172000000.0,391893000000.0,431120000000.0,409425000000.0,430069000000.0,441885000000.0,382066000000.0,390800000000.0,416596000000.0
Burundi,5438957.0,5564926.0,5685565.0,5798053.0,5898967.0,5987043.0,6060111.0,6122130.0,6185562.0,6267124.0,6378871.0,6525545.0,6704113.0,6909154.0,7131693.0,7364862.0,7607849.0,7862214.0,8126102.0,8397668.0,8675602.0,8958406.0,9245988.0,9540289.0,9844297.0,10160030.0,10487998.0,10827024.0,39602347.38,42751758.83,38986476.43,36267402.59,41909745.03,42108929.88,50893980.78,61870123.83,58736036.23,50571188.26,42321552.22,53230373.11,44910067.05,43413201.31,44872377.15,49557129.38,44717502.04,46308706.22,43856319.95,,,,58966662.28,60859500.09,62177294.74,66164584.44,66462843.08,63908678.43,1132101253.0,1167398478.0,1083037671.0,938632612.0,925030590.2,1000428394.0,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046.0,1273375020.0,1356199365.0,1611835902.0,1781455092.0,2032135247.0,2235820868.0,2333308099.0,2451625333.0,2705783272.0,3104394858.0,2959185295.0,3172416146.0
Belgium,9967379.0,10004486.0,10045158.0,10084475.0,10115603.0,10136811.0,10156637.0,10181245.0,10203008.0,10226419.0,10251250.0,10286570.0,10332785.0,10376133.0,10421137.0,10478617.0,10547958.0,10625700.0,10709973.0,10796493.0,10895586.0,11038264.0,11106932.0,11159407.0,11209057.0,11274196.0,11331422.0,11375158.0,4644324241.0,4624500746.0,4131298112.0,3746042851.0,3944101813.0,4449014835.0,4241865968.0,3684095389.0,3664288413.0,3598447520.0,3190805233.0,3036035472.0,3147146017.0,3875697772.0,4262663513.0,4228224643.0,4307895341.0,5163979974.0,6295821584.0,5620670063.0,5244720513.0,5499370964.0,5168997834.0,5263164883.0,5191509381.0,4202062770.0,4314102067.0,4484652582.0,206431000000.0,211638000000.0,236038000000.0,225925000000.0,246195000000.0,289567000000.0,281358000000.0,254814000000.0,260602000000.0,260202000000.0,237905000000.0,237842000000.0,258860000000.0,319003000000.0,370885000000.0,387366000000.0,409813000000.0,471821000000.0,518626000000.0,484553000000.0,483548000000.0,527008000000.0,497884000000.0,520925000000.0,530771000000.0,455040000000.0,467546000000.0,492681000000.0
Benin,4978496.0,5149499.0,5331803.0,5521763.0,5714220.0,5905558.0,6094259.0,6281639.0,6470265.0,6664098.0,6865951.0,7076733.0,7295394.0,7520555.0,7750004.0,7982225.0,8216897.0,8454793.0,8696921.0,8944708.0,9199259.0,9460830.0,9729248.0,10004588.0,10286842.0,10575952.0,10872067.0,11175204.0,32817291.98,,,,,,,,,17843134.39,14496275.16,13112535.62,26000447.64,34544046.8,41780478.34,44706029.56,46786130.93,,64724601.11,,,,78223091.04,86003157.64,92990706.19,90896085.89,79581568.05,116142782.4,1959965244.0,1986437860.0,1695315306.0,2274557914.0,1598075932.0,2169627251.0,2361116588.0,2268301538.0,2455092582.0,2689787918.0,2569186643.0,2680213931.0,3054571082.0,3905366188.0,4521424807.0,4803702821.0,5142380779.0,5969535132.0,7132787397.0,7097198712.0,6970240895.0,7814081156.0,8152554487.0,9157355680.0,9707432016.0,8291155881.0,8573159697.0,9246696924.0
Burkina Faso,8811034.0,9050084.0,9297113.0,9552476.0,9816588.0,10089878.0,10372745.0,10665546.0,10968724.0,11282701.0,11607942.0,11944587.0,12293100.0,12654621.0,13030569.0,13421930.0,13829176.0,14252021.0,14689725.0,15141098.0,15605217.0,16081911.0,16571246.0,17072775.0,17586017.0,18110624.0,18646378.0,19193284.0,84465502.36,69505542.22,71116618.56,60526975.63,30259093.49,36862814.24,37141874.14,38549246.23,39494738.56,41741175.48,36658539.05,36832965.23,42468449.96,50757054.37,65684242.41,73843342.16,72632867.33,107816728.5,116999586.9,127333296.6,123700474.7,138850860.2,147729698.9,166136345.2,177166954.9,147934736.7,149467363.2,191065838.8,3101301781.0,3135045684.0,2240264712.0,2332018011.0,1895290965.0,2379518099.0,2586550747.0,2447669404.0,2804902724.0,2993753187.0,2628920056.0,2812845514.0,3205592290.0,4205691222.0,4838551100.0,5462709498.0,5816310158.0,6771277871.0,8369637065.0,8369175126.0,8979966766.0,10724063458.0,11166063467.0,11947176342.0,12377391463.0,10419303761.0,10886363727.0,12322864245.0
Bangladesh,103171956.0,105599127.0,107983704.0,110350639.0,112737683.0,115169930.0,117649932.0,120160564.0,122682815.0,125189651.0,127657854.0,130088702.0,132478086.0,134791603.0,136986432.0,139035505.0,140921167.0,142660376.0,144304167.0,145924797.0,147575430.0,149273778.0,151007807.0,152764676.0,154520167.0,156256276.0,157970840.0,159670593.0,373023439.0,381720110.1,427723625.0,471044672.3,547417522.2,620095155.9,638958844.8,681915124.0,701585600.4,737412573.6,740798160.0,705481695.2,681816161.7,719442956.9,770641160.3,773677668.2,829682794.8,953464223.6,1030020018.0,1258791157.0,1624625086.0,1801539802.0,1823425076.0,2047989071.0,2355991525.0,2815281641.0,3239738758.0,3594007980.0,31598341234.0,30957483950.0,31708874594.0,33166519418.0,33768660883.0,37939748769.0,46438484108.0,48244309133.0,49984559471.0,51270569884.0,53369787319.0,53991289844.0,54724081491.0,60158929188.0,65108544250.0,69442943089.0,71819083684.0,79611888213.0,91631278239.0,102478000000.0,115279000000.0,128638000000.0,133356000000.0,149990000000.0,172885000000.0,195079000000.0,221415000000.0,249724000000.0
Belize,187552.0,191128.0,194324.0,197622.0,201680.0,206963.0,213664.0,221580.0,230244.0,238988.0,247315.0,255063.0,262378.0,269425.0,276504.0,283800.0,291329.0,299025.0,306823.0,314655.0,322464.0,330237.0,338000.0,345715.0,353366.0,360933.0,368400.0,375769.0,4768750.0,4732875.0,5292125.0,6130375.0,7899375.0,8052875.0,7965875.0,9395000.0,,,7116125.0,7454662.5,7829937.5,8552225.0,9486150.0,10710962.5,12283037.5,13759075.0,18717737.5,17267537.5,15337250.0,15416250.0,15219125.0,17778875.0,19916875.0,19717625.0,21712887.5,23456750.0,412086445.5,444720750.0,518239100.0,559858250.0,580863700.0,620140400.0,641383800.0,654314350.0,688992450.0,732732350.0,832072450.0,871860600.0,932551850.0,990374050.0,1057845500.0,1114202700.0,1217442150.0,1290542550.0,1368625150.0,1335217500.0,1396731700.0,1486595750.0,1563827850.0,1608442150.0,1692955750.0,1762500450.0,1806646250.0,1862614800.0
Bolivia,6864842.0,7011453.0,7160920.0,7312850.0,7466793.0,7622338.0,7779267.0,7937458.0,8096761.0,8257066.0,8418264.0,8580235.0,8742814.0,8905823.0,9069039.0,9232306.0,9395446.0,9558439.0,9721454.0,9884781.0,10048590.0,10212954.0,10377676.0,10542376.0,10706517.0,10869730.0,11031813.0,11192854.0,137065127.5,143643960.1,141441910.3,109897118.0,134595240.4,140760862.8,146963017.8,180200446.9,228677000.4,176744242.1,173245422.5,184397571.0,160437935.8,173431324.8,168881603.1,169262316.4,179525489.2,221280687.8,327194708.2,345777777.8,327413146.1,403568566.1,499870043.4,564409840.8,625885094.1,575524224.9,552381263.9,574070189.6,4867582620.0,5343274312.0,5643893347.0,5734676561.0,5981244887.0,6715220507.0,7396966657.0,7925673448.0,8497545598.0,8285075872.0,8397912509.0,8141537938.0,7905485216.0,8082364868.0,8773451739.0,9549077869.0,11451845341.0,13120107688.0,16674276952.0,17339992165.0,19649724655.0,23963162984.0,27084497540.0,30659338929.0,32996187988.0,33000198263.0,33941126194.0,37508642113.0
Brazil,149003223.0,151648011.0,154259380.0,156849078.0,159432716.0,162019896.0,164614688.0,167209040.0,169785250.0,172318675.0,174790340.0,177196054.0,179537520.0,181809246.0,184006481.0,186127103.0,188167356.0,190130443.0,192030362.0,193886508.0,195713635.0,197514534.0,199287296.0,201035903.0,202763735.0,204471769.0,206163058.0,207833831.0,9236296955.0,6694665295.0,4993804467.0,7099899155.0,10591499118.0,14318919608.0,14073226545.0,13934266552.0,14357357047.0,9866973919.0,11344032535.0,10930231568.0,9664561903.0,8392905884.0,9780111585.0,13588619736.0,16404867307.0,20485758015.0,24452903036.0,25648809911.0,34002944470.0,36936209896.0,33987005074.0,32874787231.0,32659614241.0,24617701683.0,24224746901.0,29283050314.0,461952000000.0,602860000000.0,400599000000.0,437799000000.0,558112000000.0,769305000000.0,850426000000.0,883200000000.0,863723000000.0,599389000000.0,655421000000.0,559372000000.0,507962000000.0,558320000000.0,669317000000.0,891630000000.0,1107640000000.0,1397080000000.0,1695820000000.0,1667020000000.0,2208870000000.0,2616200000000.0,2465190000000.0,2472810000000.0,2455990000000.0,1802210000000.0,1793990000000.0,2055510000000.0
